product_id,category,subcategory,brand,product_name,list_price,unit_cost
P0027,Electronics,Smart Home,VitaGlow,VitaGlow Smart Home Item 27,56.84,30.24
P0028,Electronics,Smartphones,Lumora,Lumora Smartphones Item 28,48.29,21.78
P0029,Fashion,Shoes,AlpenCore,AlpenCore Shoes Item 29,25.79,15.85
P0030,Home,Furniture,VitaGlow,VitaGlow Furniture Item 30,101.46,65.8
P0031,Books,Business,SwiftFit,SwiftFit Business Item 31,22.32,11.08
P0032,Fashion,Shoes,Auralux,Auralux Shoes Item 32,21.78,12.69
P0033,Books,Science,Lumora,Lumora Science Item 33,11.99,7.41
P0034,Home,Furniture,Bookora,Bookora Furniture Item 34,56.92,34.67
P0035,Electronics,Audio,Nordblick,Nordblick Audio Item 35,101.87,52.81
P0036,Fashion,Shoes,PeakWay,PeakWay Shoes Item 36,31.21,16.82
P0037,Books,Science,SwiftFit,SwiftFit Science Item 37,25.77,12.81
P0038,Electronics,Smartphones,ComfyHaus,ComfyHaus Smartphones Item 38,52.25,23.47
P0039,Home,Decor,MiraBelle,MiraBelle Decor Item 39,36.77,20.7
P0040,Fashion,Shoes,MiraBelle,MiraBelle Shoes Item 40,23.26,12.23
P0041,Home,Decor,Nordblick,Nordblick Decor Item 41,69.03,40.89
P0042,Electronics,Smartphones,PeakWay,PeakWay Smartphones Item 42,193.02,115.06
P0043,Electronics,Accessories,VitaGlow,VitaGlow Accessories Item 43,146.06,70.76
P0044,Fashion,Men,UrbanFox,UrbanFox Men Item 44,36.28,21.04
P0045,Home,Bedding,UrbanFox,UrbanFox Bedding Item 45,60.63,23.83
P0046,Home,Decor,Nordblick,Nordblick Decor Item 46,113.51,62.41
P0047,Sports,Yoga,ComfyHaus,ComfyHaus Yoga Item 47,43.28,28.45
P0048,Books,Fiction,ComfyHaus,ComfyHaus Fiction Item 48,24.65,14.81
P0049,Electronics,Smart Home,HomeNest,HomeNest Smart Home Item 49,71.37,35.66
P0050,Electronics,Smartphones,Auralux,Auralux Smartphones Item 50,69.95,38.59
P0051,Fashion,Men,AlpenCore,AlpenCore Men Item 51,51.84,20.3
P0052,Home,Kitchen,Nordblick,Nordblick Kitchen Item 52,61.17,37.45
P0053,Fashion,Shoes,HomeNest,HomeNest Shoes Item 53,33.04,17.36
P0054,Home,Furniture,HomeNest,HomeNest Furniture Item 54,137.38,57.71
P0055,Fashion,Bags,VitaGlow,VitaGlow Bags Item 55,14.9,6.42
P0056,Books,Fiction,UrbanFox,UrbanFox Fiction Item 56,9.76,5.55
P0057,Books,Science,AlpenCore,AlpenCore Science Item 57,15.99,7.96
P0058,Electronics,Audio,ComfyHaus,ComfyHaus Audio Item 58,72.82,37.46
P0059,Fashion,Bags,Bookora,Bookora Bags Item 59,44.23,24.46
P0060,Electronics,Audio,ComfyHaus,ComfyHaus Audio Item 60,183.2,73.88
P0061,Electronics,Accessories,GreenLeaf,GreenLeaf Accessories Item 61,23.06,9.95
P0062,Electronics,Audio,GreenLeaf,GreenLeaf Audio Item 62,76.07,50.26
P0063,Home,Bedding,PeakWay,PeakWay Bedding Item 63,59.6,28.96
P0064,Electronics,Audio,Nordblick,Nordblick Audio Item 64,61.44,30.34
P0065,Books,Fiction,TechNova,TechNova Fiction Item 65,13.83,8.77
P0066,Books,Business,Bookora,Bookora Business Item 66,17.7,8.66
P0067,Home,Bedding,Bookora,Bookora Bedding Item 67,47.88,28.58
P0068,Electronics,Smartphones,Auralux,Auralux Smartphones Item 68,60.57,25.87
P0069,Books,Business,HomeNest,HomeNest Business Item 69,12.83,7.32
P0070,Sports,Yoga,UrbanFox,UrbanFox Yoga Item 70,24.08,16.32
P0071,Fashion,Shoes,Velora,Velora Shoes Item 71,38.99,18.65
P0072,Books,Fiction,TechNova,TechNova Fiction Item 72,10.48,5.9
P0073,Sports,Fitness,Velora,Velora Fitness Item 73,31.1,20.48
P0074,Fashion,Men,PeakWay,PeakWay Men Item 74,25.97,13.25
P0075,Fashion,Bags,Nordblick,Nordblick Bags Item 75,24.44,11.3
P0076,Electronics,Audio,UrbanFox,UrbanFox Audio Item 76,68.73,33.2
P0077,Electronics,Accessories,MiraBelle,MiraBelle Accessories Item 77,214.62,139.65
P0078,Fashion,Bags,Bookora,Bookora Bags Item 78,30.61,16.56
P0079,Electronics,Accessories,Lumora,Lumora Accessories Item 79,132.99,56.13
P0080,Electronics,Accessories,PeakWay,PeakWay Accessories Item 80,126.62,63.32
P0081,Fashion,Shoes,Auralux,Auralux Shoes Item 81,41.51,16.25
P0082,Home,Decor,Bookora,Bookora Decor Item 82,49.1,32.5
P0083,Home,Furniture,ComfyHaus,ComfyHaus Furniture Item 83,110.11,69.86
P0084,Fashion,Shoes,Velora,Velora Shoes Item 84,80.6,52.18
P0085,Electronics,Smartphones,TechNova,TechNova Smartphones Item 85,30.55,12.97
P0086,Fashion,Shoes,Auralux,Auralux Shoes Item 86,38.38,23.69
P0087,Fashion,Women,Nordblick,Nordblick Women Item 87,34.67,17.58
P0088,Electronics,Smart Home,Velora,Velora Smart Home Item 88,51.62,21.3
P0089,Home,Decor,MiraBelle,MiraBelle Decor Item 89,80.38,44.17
P0090,Electronics,Smartphones,Velora,Velora Smartphones Item 90,118.53,54.19
P0091,Sports,Cycling,Auralux,Auralux Cycling Item 91,13.34,9.03
P0092,Electronics,Smartphones,ComfyHaus,ComfyHaus Smartphones Item 92,90.44,47.88
P0093,Electronics,Smartphones,MiraBelle,MiraBelle Smartphones Item 93,167.63,70.16
P0094,Beauty,Makeup,SwiftFit,SwiftFit Makeup Item 94,15.26,9.14
P0095,Books,Fiction,VitaGlow,VitaGlow Fiction Item 95,13.96,8.41
P0096,Sports,Outdoor,Velora,Velora Outdoor Item 96,26.47,11.25
P0097,Electronics,Accessories,Auralux,Auralux Accessories Item 97,314.54,199.48
P0098,Fashion,Shoes,Nordblick,Nordblick Shoes Item 98,40.79,26.58
P0099,Electronics,Smartphones,MiraBelle,MiraBelle Smartphones Item 99,66.25,26.75
P0100,Beauty,Skincare,PeakWay,PeakWay Skincare Item 100,29.52,17.33
P0101,Electronics,Audio,Bookora,Bookora Audio Item 101,111.59,59.71
P0102,Home,Kitchen,MiraBelle,MiraBelle Kitchen Item 102,38.34,21.62
P0103,Electronics,Smart Home,PeakWay,PeakWay Smart Home Item 103,109.55,65.57
P0104,Electronics,Accessories,VitaGlow,VitaGlow Accessories Item 104,110.51,73.9
P0105,Electronics,Audio,Auralux,Auralux Audio Item 105,115.67,77.57
P0106,Home,Kitchen,Auralux,Auralux Kitchen Item 106,36.45,15.4
P0107,Beauty,Skincare,Lumora,Lumora Skincare Item 107,29.58,17.35
P0108,Sports,Cycling,Velora,Velora Cycling Item 108,67.17,40.17
P0109,Beauty,Skincare,GreenLeaf,GreenLeaf Skincare Item 109,35.6,19.41
P0110,Electronics,Smartphones,UrbanFox,UrbanFox Smartphones Item 110,125.38,63.0
P0111,Electronics,Smartphones,AlpenCore,AlpenCore Smartphones Item 111,95.23,64.22
P0112,Electronics,Accessories,UrbanFox,UrbanFox Accessories Item 112,62.78,26.07
P0113,Sports,Cycling,PeakWay,PeakWay Cycling Item 113,64.74,26.41
P0114,Sports,Fitness,AlpenCore,AlpenCore Fitness Item 114,57.97,31.88
P0115,Beauty,Skincare,UrbanFox,UrbanFox Skincare Item 115,18.71,11.55
P0116,Fashion,Bags,PeakWay,PeakWay Bags Item 116,28.01,16.51
P0117,Home,Kitchen,ComfyHaus,ComfyHaus Kitchen Item 117,54.67,36.23
P0118,Books,Business,Auralux,Auralux Business Item 118,11.59,5.07
P0119,Fashion,Shoes,TechNova,TechNova Shoes Item 119,42.75,19.0
P0120,Beauty,Fragrance,MiraBelle,MiraBelle Fragrance Item 120,51.64,20.67
P0121,Home,Furniture,AlpenCore,AlpenCore Furniture Item 121,22.88,13.11
P0122,Sports,Outdoor,Lumora,Lumora Outdoor Item 122,22.68,9.67
P0123,Electronics,Accessories,MiraBelle,MiraBelle Accessories Item 123,95.1,40.45
P0124,Fashion,Men,HomeNest,HomeNest Men Item 124,31.99,14.53
P0125,Home,Furniture,GreenLeaf,GreenLeaf Furniture Item 125,41.35,27.04
P0126,Beauty,Haircare,Lumora,Lumora Haircare Item 126,21.67,11.68
P0127,Fashion,Women,MiraBelle,MiraBelle Women Item 127,69.42,29.65
P0128,Sports,Cycling,VitaGlow,VitaGlow Cycling Item 128,26.29,14.57
P0129,Books,Children,TechNova,TechNova Children Item 129,16.85,8.08
P0130,Home,Bedding,Nordblick,Nordblick Bedding Item 130,45.54,22.32
P0131,Beauty,Skincare,Lumora,Lumora Skincare Item 131,17.95,9.68
P0132,Home,Bedding,MiraBelle,MiraBelle Bedding Item 132,64.33,40.97
P0133,Books,Business,MiraBelle,MiraBelle Business Item 133,8.02,4.43
P0134,Electronics,Audio,Lumora,Lumora Audio Item 134,139.51,73.87
P0135,Home,Furniture,UrbanFox,UrbanFox Furniture Item 135,67.86,41.98
P0136,Home,Decor,TechNova,TechNova Decor Item 136,108.03,60.08
P0137,Electronics,Accessories,UrbanFox,UrbanFox Accessories Item 137,53.12,27.68
P0138,Fashion,Shoes,ComfyHaus,ComfyHaus Shoes Item 138,61.08,31.11
P0139,Fashion,Bags,Velora,Velora Bags Item 139,44.94,17.78
P0140,Electronics,Smart Home,Nordblick,Nordblick Smart Home Item 140,95.74,39.29
P0141,Home,Decor,Velora,Velora Decor Item 141,67.46,42.77
P0142,Books,Science,ComfyHaus,ComfyHaus Science Item 142,23.34,14.89
P0143,Electronics,Accessories,GreenLeaf,GreenLeaf Accessories Item 143,200.27,127.3
P0144,Electronics,Smartphones,Velora,Velora Smartphones Item 144,28.72,19.42
P0145,Electronics,Smart Home,Lumora,Lumora Smart Home Item 145,59.56,35.31
P0146,Home,Bedding,Lumora,Lumora Bedding Item 146,38.65,17.44
P0147,Home,Bedding,Lumora,Lumora Bedding Item 147,26.55,10.24
P0148,Electronics,Smartphones,Velora,Velora Smartphones Item 148,34.04,15.64
P0149,Home,Furniture,PeakWay,PeakWay Furniture Item 149,107.32,46.14
P0150,Fashion,Men,Velora,Velora Men Item 150,71.52,33.51
P0151,Electronics,Smartphones,HomeNest,HomeNest Smartphones Item 151,135.55,79.27
P0152,Electronics,Audio,VitaGlow,VitaGlow Audio Item 152,315.38,177.05
P0153,Fashion,Bags,Nordblick,Nordblick Bags Item 153,44.3,25.39
P0154,Beauty,Skincare,HomeNest,HomeNest Skincare Item 154,34.81,14.01
P0155,Home,Bedding,SwiftFit,SwiftFit Bedding Item 155,34.33,22.2
P0156,Electronics,Accessories,GreenLeaf,GreenLeaf Accessories Item 156,899.99,604.97
P0157,Sports,Fitness,SwiftFit,SwiftFit Fitness Item 157,38.57,26.12
P0158,Fashion,Bags,Auralux,Auralux Bags Item 158,51.58,27.65
P0159,Books,Fiction,TechNova,TechNova Fiction Item 159,28.75,15.65
P0160,Fashion,Shoes,Nordblick,Nordblick Shoes Item 160,63.05,28.62
P0161,Electronics,Smartphones,ComfyHaus,ComfyHaus Smartphones Item 161,89.21,47.52
P0162,Beauty,Fragrance,VitaGlow,VitaGlow Fragrance Item 162,32.99,16.33
P0163,Home,Decor,VitaGlow,VitaGlow Decor Item 163,63.19,40.89
P0164,Home,Decor,HomeNest,HomeNest Decor Item 164,35.34,17.05
P0165,Sports,Outdoor,Velora,Velora Outdoor Item 165,59.62,23.5
P0166,Home,Bedding,GreenLeaf,GreenLeaf Bedding Item 166,68.89,37.98
P0167,Sports,Yoga,Velora,Velora Yoga Item 167,22.12,12.89
P0168,Books,Children,AlpenCore,AlpenCore Children Item 168,12.08,5.01
P0169,Home,Decor,MiraBelle,MiraBelle Decor Item 169,161.65,65.31
P0170,Sports,Yoga,MiraBelle,MiraBelle Yoga Item 170,53.73,27.23
P0171,Electronics,Audio,MiraBelle,MiraBelle Audio Item 171,288.12,122.37
P0172,Sports,Fitness,Lumora,Lumora Fitness Item 172,36.98,21.35
P0173,Beauty,Fragrance,UrbanFox,UrbanFox Fragrance Item 173,48.31,32.42
P0174,Electronics,Audio,UrbanFox,UrbanFox Audio Item 174,545.8,241.95
P0175,Sports,Cycling,MiraBelle,MiraBelle Cycling Item 175,24.23,15.15
P0176,Home,Kitchen,Auralux,Auralux Kitchen Item 176,58.83,31.2
P0177,Electronics,Smartphones,TechNova,TechNova Smartphones Item 177,235.81,100.6
P0178,Electronics,Smart Home,Nordblick,Nordblick Smart Home Item 178,52.17,30.49
P0179,Electronics,Smartphones,Lumora,Lumora Smartphones Item 179,61.92,25.66
P0180,Home,Bedding,Velora,Velora Bedding Item 180,68.99,43.66
P0181,Books,Fiction,PeakWay,PeakWay Fiction Item 181,24.54,16.06
P0182,Books,Children,Lumora,Lumora Children Item 182,11.43,5.27
P0183,Electronics,Smart Home,GreenLeaf,GreenLeaf Smart Home Item 183,71.32,28.37
P0184,Beauty,Fragrance,PeakWay,PeakWay Fragrance Item 184,26.85,16.65
P0185,Home,Bedding,MiraBelle,MiraBelle Bedding Item 185,86.13,45.66
P0186,Electronics,Smart Home,Lumora,Lumora Smart Home Item 186,55.8,21.27
P0187,Fashion,Shoes,Bookora,Bookora Shoes Item 187,21.24,11.04
P0188,Books,Science,Bookora,Bookora Science Item 188,18.2,9.06
P0189,Fashion,Men,Velora,Velora Men Item 189,50.06,19.74
P0190,Fashion,Bags,PeakWay,PeakWay Bags Item 190,55.27,32.83
P0191,Sports,Cycling,Auralux,Auralux Cycling Item 191,36.96,16.16
P0192,Fashion,Bags,Auralux,Auralux Bags Item 192,103.62,66.22
P0193,Fashion,Bags,UrbanFox,UrbanFox Bags Item 193,78.96,33.54
P0194,Books,Business,VitaGlow,VitaGlow Business Item 194,17.33,6.73
P0195,Sports,Fitness,MiraBelle,MiraBelle Fitness Item 195,49.98,24.24
P0196,Books,Science,Velora,Velora Science Item 196,18.01,7.24
P0197,Sports,Fitness,AlpenCore,AlpenCore Fitness Item 197,68.29,43.7
P0198,Fashion,Women,VitaGlow,VitaGlow Women Item 198,71.57,36.18
P0199,Electronics,Smartphones,Bookora,Bookora Smartphones Item 199,83.02,55.92
P0200,Electronics,Smart Home,UrbanFox,UrbanFox Smart Home Item 200,115.03,48.34
P0201,Books,Children,Auralux,Auralux Children Item 201,17.55,11.89
P0202,Books,Fiction,Nordblick,Nordblick Fiction Item 202,26.16,10.08
P0203,Fashion,Women,VitaGlow,VitaGlow Women Item 203,41.57,25.51
P0204,Beauty,Skincare,PeakWay,PeakWay Skincare Item 204,24.71,15.54
P0205,Beauty,Haircare,GreenLeaf,GreenLeaf Haircare Item 205,42.6,16.68
P0206,Sports,Outdoor,AlpenCore,AlpenCore Outdoor Item 206,17.08,11.28
P0207,Fashion,Shoes,ComfyHaus,ComfyHaus Shoes Item 207,17.53,9.36
P0208,Electronics,Smart Home,Auralux,Auralux Smart Home Item 208,122.8,66.35
P0209,Home,Bedding,Auralux,Auralux Bedding Item 209,38.53,17.74
P0210,Home,Kitchen,VitaGlow,VitaGlow Kitchen Item 210,79.29,50.85
P0211,Beauty,Fragrance,AlpenCore,AlpenCore Fragrance Item 211,30.94,21.02
P0212,Sports,Cycling,UrbanFox,UrbanFox Cycling Item 212,19.59,7.89
P0213,Electronics,Smartphones,VitaGlow,VitaGlow Smartphones Item 213,69.85,30.8
P0214,Books,Fiction,Nordblick,Nordblick Fiction Item 214,14.98,9.34
P0215,Fashion,Shoes,VitaGlow,VitaGlow Shoes Item 215,38.18,16.24
P0216,Sports,Cycling,AlpenCore,AlpenCore Cycling Item 216,59.31,24.23
P0217,Books,Fiction,Velora,Velora Fiction Item 217,17.23,10.14
P0218,Books,Fiction,HomeNest,HomeNest Fiction Item 218,21.69,12.46
P0219,Electronics,Smart Home,AlpenCore,AlpenCore Smart Home Item 219,172.21,75.39
P0220,Sports,Yoga,HomeNest,HomeNest Yoga Item 220,31.62,16.53
P0221,Electronics,Accessories,ComfyHaus,ComfyHaus Accessories Item 221,58.89,26.86
P0222,Fashion,Shoes,Velora,Velora Shoes Item 222,40.16,21.32
P0223,Fashion,Shoes,Lumora,Lumora Shoes Item 223,52.47,29.65
P0224,Beauty,Haircare,SwiftFit,SwiftFit Haircare Item 224,30.4,16.18
P0225,Sports,Fitness,TechNova,TechNova Fitness Item 225,61.11,36.41
P0226,Books,Science,SwiftFit,SwiftFit Science Item 226,14.7,9.04
P0227,Electronics,Audio,HomeNest,HomeNest Audio Item 227,170.31,99.77
P0228,Electronics,Smart Home,AlpenCore,AlpenCore Smart Home Item 228,162.48,78.11
P0229,Sports,Outdoor,Auralux,Auralux Outdoor Item 229,48.74,21.25
P0230,Books,Science,Velora,Velora Science Item 230,16.99,9.5
P0231,Electronics,Accessories,SwiftFit,SwiftFit Accessories Item 231,115.28,46.59
P0232,Electronics,Audio,VitaGlow,VitaGlow Audio Item 232,45.28,29.55
P0233,Home,Furniture,AlpenCore,AlpenCore Furniture Item 233,50.52,27.3
P0234,Electronics,Smartphones,ComfyHaus,ComfyHaus Smartphones Item 234,87.58,33.32
P0235,Electronics,Smart Home,VitaGlow,VitaGlow Smart Home Item 235,120.9,71.36
P0236,Fashion,Bags,VitaGlow,VitaGlow Bags Item 236,24.89,15.2
P0237,Electronics,Smart Home,Bookora,Bookora Smart Home Item 237,69.9,31.78
P0238,Fashion,Shoes,Velora,Velora Shoes Item 238,29.1,19.62
P0239,Home,Furniture,PeakWay,PeakWay Furniture Item 239,30.7,17.85
P0240,Home,Decor,Auralux,Auralux Decor Item 240,59.93,32.91
P0241,Sports,Cycling,HomeNest,HomeNest Cycling Item 241,25.16,15.46
P0242,Home,Kitchen,Lumora,Lumora Kitchen Item 242,94.35,40.96
P0243,Electronics,Accessories,VitaGlow,VitaGlow Accessories Item 243,51.15,22.45
P0244,Beauty,Fragrance,Bookora,Bookora Fragrance Item 244,42.06,18.83
P0245,Fashion,Women,MiraBelle,MiraBelle Women Item 245,70.19,38.0
P0246,Home,Decor,Auralux,Auralux Decor Item 246,81.1,49.67
P0247,Sports,Outdoor,MiraBelle,MiraBelle Outdoor Item 247,21.42,10.63
P0248,Fashion,Women,AlpenCore,AlpenCore Women Item 248,49.0,30.37
P0249,Beauty,Haircare,SwiftFit,SwiftFit Haircare Item 249,24.95,15.79
P0250,Beauty,Makeup,TechNova,TechNova Makeup Item 250,20.59,12.37
P0251,Books,Children,Lumora,Lumora Children Item 251,14.31,6.86
P0252,Electronics,Smart Home,Lumora,Lumora Smart Home Item 252,90.29,50.07
P0253,Books,Children,Auralux,Auralux Children Item 253,16.09,10.33
P0254,Books,Children,TechNova,TechNova Children Item 254,16.32,9.82
P0255,Fashion,Bags,VitaGlow,VitaGlow Bags Item 255,33.12,13.44
P0256,Sports,Yoga,UrbanFox,UrbanFox Yoga Item 256,31.98,16.5
P0257,Electronics,Smartphones,TechNova,TechNova Smartphones Item 257,29.78,12.81
P0258,Beauty,Haircare,VitaGlow,VitaGlow Haircare Item 258,16.42,9.47
P0259,Books,Science,Bookora,Bookora Science Item 259,17.79,9.98
P0260,Electronics,Smartphones,Bookora,Bookora Smartphones Item 260,65.14,29.14
P0261,Home,Furniture,AlpenCore,AlpenCore Furniture Item 261,67.94,41.36
P0262,Electronics,Accessories,Auralux,Auralux Accessories Item 262,56.23,23.51
P0263,Fashion,Women,ComfyHaus,ComfyHaus Women Item 263,89.34,35.32
P0264,Beauty,Makeup,AlpenCore,AlpenCore Makeup Item 264,41.71,26.62
P0265,Books,Business,TechNova,TechNova Business Item 265,10.16,5.4
P0266,Electronics,Smartphones,HomeNest,HomeNest Smartphones Item 266,53.48,34.18
P0267,Sports,Outdoor,Velora,Velora Outdoor Item 267,160.69,70.57
P0268,Beauty,Fragrance,HomeNest,HomeNest Fragrance Item 268,35.34,15.63
P0269,Beauty,Skincare,ComfyHaus,ComfyHaus Skincare Item 269,14.8,7.01
P0270,Books,Business,ComfyHaus,ComfyHaus Business Item 270,9.39,4.97
P0271,Books,Science,Nordblick,Nordblick Science Item 271,11.9,7.84
P0272,Home,Kitchen,Bookora,Bookora Kitchen Item 272,54.34,28.07
P0273,Books,Children,Velora,Velora Children Item 273,23.61,14.12
P0274,Beauty,Skincare,ComfyHaus,ComfyHaus Skincare Item 274,25.91,14.71
P0275,Sports,Cycling,TechNova,TechNova Cycling Item 275,22.95,9.71
P0276,Electronics,Smart Home,MiraBelle,MiraBelle Smart Home Item 276,137.51,93.27
P0277,Fashion,Women,HomeNest,HomeNest Women Item 277,36.54,20.04
P0278,Home,Bedding,MiraBelle,MiraBelle Bedding Item 278,51.69,26.22
P0279,Electronics,Smartphones,ComfyHaus,ComfyHaus Smartphones Item 279,77.98,31.65
P0280,Fashion,Bags,Auralux,Auralux Bags Item 280,36.24,17.92
P0281,Electronics,Smart Home,Nordblick,Nordblick Smart Home Item 281,81.84,52.03
P0282,Fashion,Shoes,PeakWay,PeakWay Shoes Item 282,59.78,28.56
P0283,Fashion,Men,Lumora,Lumora Men Item 283,37.3,25.22
P0284,Electronics,Audio,ComfyHaus,ComfyHaus Audio Item 284,111.85,60.76
P0285,Electronics,Accessories,TechNova,TechNova Accessories Item 285,75.88,42.88
P0286,Sports,Fitness,VitaGlow,VitaGlow Fitness Item 286,46.27,29.7
P0287,Fashion,Shoes,Velora,Velora Shoes Item 287,54.01,33.68
P0288,Books,Fiction,Velora,Velora Fiction Item 288,14.93,10.13
P0289,Home,Decor,Nordblick,Nordblick Decor Item 289,79.43,47.79
P0290,Sports,Cycling,SwiftFit,SwiftFit Cycling Item 290,34.03,20.72
P0291,Fashion,Men,Nordblick,Nordblick Men Item 291,43.87,28.71
P0292,Sports,Outdoor,UrbanFox,UrbanFox Outdoor Item 292,58.6,37.11
P0293,Electronics,Smart Home,SwiftFit,SwiftFit Smart Home Item 293,89.91,46.01
P0294,Beauty,Makeup,ComfyHaus,ComfyHaus Makeup Item 294,26.05,11.35
P0295,Home,Bedding,UrbanFox,UrbanFox Bedding Item 295,47.35,28.19
P0296,Fashion,Women,Velora,Velora Women Item 296,53.24,33.29
P0297,Home,Kitchen,Lumora,Lumora Kitchen Item 297,55.75,23.53
P0298,Electronics,Smart Home,UrbanFox,UrbanFox Smart Home Item 298,99.39,52.89
P0299,Fashion,Men,Velora,Velora Men Item 299,31.78,16.78
P0300,Books,Business,Auralux,Auralux Business Item 300,35.97,14.72
P0301,Electronics,Accessories,GreenLeaf,GreenLeaf Accessories Item 301,51.25,19.51
P0302,Books,Fiction,VitaGlow,VitaGlow Fiction Item 302,26.62,13.62
P0303,Books,Science,GreenLeaf,GreenLeaf Science Item 303,17.37,8.77
P0304,Home,Decor,TechNova,TechNova Decor Item 304,49.58,31.65
P0305,Fashion,Bags,ComfyHaus,ComfyHaus Bags Item 305,51.4,20.1
P0306,Fashion,Women,MiraBelle,MiraBelle Women Item 306,47.99,21.56
P0307,Home,Kitchen,Lumora,Lumora Kitchen Item 307,58.36,24.08
P0308,Sports,Yoga,ComfyHaus,ComfyHaus Yoga Item 308,76.99,42.2
P0309,Home,Furniture,Lumora,Lumora Furniture Item 309,79.9,43.27
P0310,Electronics,Accessories,Nordblick,Nordblick Accessories Item 310,76.69,49.71
P0311,Fashion,Men,VitaGlow,VitaGlow Men Item 311,29.97,13.28
P0312,Beauty,Makeup,Bookora,Bookora Makeup Item 312,33.0,16.42
P0313,Electronics,Smart Home,MiraBelle,MiraBelle Smart Home Item 313,157.21,72.21
P0314,Fashion,Women,Auralux,Auralux Women Item 314,50.65,25.83
P0315,Electronics,Smart Home,Auralux,Auralux Smart Home Item 315,60.67,30.69
P0316,Home,Decor,TechNova,TechNova Decor Item 316,89.58,54.89
P0317,Sports,Yoga,Velora,Velora Yoga Item 317,52.89,27.34
P0318,Fashion,Women,Velora,Velora Women Item 318,50.24,33.28
P0319,Fashion,Men,UrbanFox,UrbanFox Men Item 319,55.49,26.59
P0320,Home,Bedding,PeakWay,PeakWay Bedding Item 320,37.12,24.83
P0321,Electronics,Smart Home,Auralux,Auralux Smart Home Item 321,27.43,12.68
P0322,Beauty,Fragrance,Bookora,Bookora Fragrance Item 322,48.41,23.39
P0323,Electronics,Audio,Bookora,Bookora Audio Item 323,220.86,107.9
P0324,Sports,Outdoor,ComfyHaus,ComfyHaus Outdoor Item 324,95.35,57.79
P0325,Beauty,Skincare,ComfyHaus,ComfyHaus Skincare Item 325,33.48,13.54
P0326,Books,Business,MiraBelle,MiraBelle Business Item 326,29.43,13.91
P0327,Fashion,Shoes,VitaGlow,VitaGlow Shoes Item 327,62.77,25.23
P0328,Fashion,Shoes,TechNova,TechNova Shoes Item 328,23.55,12.0
P0329,Home,Furniture,Nordblick,Nordblick Furniture Item 329,37.18,23.4
P0330,Beauty,Makeup,Bookora,Bookora Makeup Item 330,32.4,20.82
P0331,Fashion,Shoes,SwiftFit,SwiftFit Shoes Item 331,48.19,24.39
P0332,Fashion,Women,HomeNest,HomeNest Women Item 332,75.38,31.04
P0333,Fashion,Shoes,MiraBelle,MiraBelle Shoes Item 333,58.06,28.52
P0334,Beauty,Haircare,GreenLeaf,GreenLeaf Haircare Item 334,30.61,13.84
P0335,Sports,Fitness,Velora,Velora Fitness Item 335,28.2,18.44
P0336,Sports,Cycling,SwiftFit,SwiftFit Cycling Item 336,18.86,11.2
P0337,Electronics,Accessories,Lumora,Lumora Accessories Item 337,57.99,38.27
P0338,Fashion,Men,ComfyHaus,ComfyHaus Men Item 338,77.42,34.82
P0339,Home,Kitchen,UrbanFox,UrbanFox Kitchen Item 339,63.04,31.21
P0340,Home,Furniture,Velora,Velora Furniture Item 340,51.87,23.53
